Question,Answer,,
"I have a Civic 99 Automatic. The Issue I am facing for the last few weeks is when it is moving above 100, and I push the pedal, and it reaches around 120, suddenly the speed drops as if the car was put it neutral. RPM remain the same. And after a few second with a bump, speed start to increase again as it was put into gear again. What can be the problem?","In the exploration of vehicle performance issues, a user inquired about the implications of a car becoming neutral, questioning whether high RPMs and decreased vehicle speed indicate such a state. Another user delved into the potential complexities, suggesting that a speed limit issue might arise from the ECU being stuck in limp mode, and raised concerns about the car's originality or potential modifications. The conversation shifted towards diagnosing the problem, with a suggestion to check the speed sensor, emphasizing its crucial role in preventing the ECU from entering limp mode. Further insights into the automatic transmission system were provided, detailing the hydraulic nature of the transmission and its speed governor's role. The discussion touched upon variations in diagnostics for ABS and non-ABS models, highlighting the significance of the Vehicle Speed Sensor (VSS) in the absence of ABS. Maintenance history was also addressed, specifically focusing on transmission fluid changes. In addressing potential causes for performance issues, considerations were given to fuel supply and electrical disruptions at higher speeds, prompting recommendations for testing fuel pumps, injectors, electrical wiring, and fuses. Finally, the clarification was made that RPMs remain constant while only the speed decreases in the reported scenario. This collective exchange offers a comprehensive exploration of various factors contributing to vehicle performance concerns.",,
"I recently bought xli 2006 from my cousin who bought zero meter, very low mielage just 30,000 Km & in good condition but i am surprised after seeing brakes performances, i felt it poor performance & took it to 4 mechanics(including 1 3s dealer), all said it is ok & normal with Xli mechanics told me that it was lack in these models ,brakes(while gli brakes r much better than this) i told them to servbice brakes they told no need, it is all geniune & rarely used so dont open it, it will have no effect so i just went to 1 thread where people r suggesting to install servo brakes in mehran to 1 brother i want to ask you that can in install servo brakes in 2006 Xli or this car already has servo brakes from factory.how to check & how can u tell that these r sevo brakes & these r ordinary( my car has all original, no modification at all) or another idea came in mind that i think it is 2 wheel disc brakes car in which there r 2 discs brakes on front while 2 brake shoe system on rear wheel, am i right? so can i change it to 4 wheel disc brakes(like honda) which is better option, i used car mostly with family so which option will be better to increase brakes performance","To enhance the braking performance of your Toyota XLI 2008, consider checking for four-wheel disc brakes, a feature confirmed for this model. Users have reported issues with brake responsiveness, especially at speeds of 50-60, and suggested potential solutions. One recommendation is to inspect the entire braking system and explore the possibility of replacing it with ABS from the new GLi model, although this may come at a significant cost. Additionally, users have shared insights into adjusting the ""T distribution valve"" to address braking problems in XLi/GLi models from 2002 to 2008. Lowering the car's height has also been proposed as a potential remedy. Overall, these suggestions offer practical approaches to improving the braking system's efficiency in your Toyota XLI 2008.",,
"My Honda Civic oriel 03 is experiencing braking issues. While driving or idle i feel the brake pad is a bit spongy. when the car's engine is off then i feel nothing like spongy rather it feels as if it has been locked. 2nd issue is the sound of grrrrr even on a speed breaker where no emergency brakes are applied. i have done brake service but to no avail. i got my car's tyres installed in 2011, still they are in very good condition. please guide me","Your concern with the braking issues in your Honda Civic Oriel 03 has various potential explanations. The sensation of a spongy brake pedal could be a normal characteristic, with the initial inch of brake application being softer before the pedal becomes harder, particularly in newer models. When the engine is off, the pedal feeling locked is a standard response as the hydraulic pump is inactive. The grrr sound, especially on speed breakers, might be attributed to the ABS system kicking in to prevent tire slipping during hard braking or on uneven surfaces. One recommendation involves changing the brake oil with a fresh one and bleeding the air from the system to address potential issues. Additionally, the grrr sound could be associated with inferior brake pads, so replacing them with higher-quality ones is suggested. It's advisable to rule out emergency brake concerns, as these explanations provide insights into potential causes and solutions for your braking issues.",,
"Hello everyone After getting scammed multiple times before and then learning a long with it. This is where I am currently Headunit: Pioneer DMH-ZS8250BT Front stage: Focal K2 Power K2P Rear stage: JL Audio C5-650XO Sub stage: Phase Linear Aliante Si 12 LTD in ported enclosure Speaker amplification: Rainbow Germanium Four Monoblock: Jl Audio XD600/1v2 Speaker wire: Stinger 12 gauge OFC Subwoofer wire: King Vox subwoofer wire Power wire: 8 gauge alpine CCA My main concern right now is the power wire. Need to change that but can’t find a 0 gauge OFC wire. Someone is selling 2/0 gauge ofc sky high audio wire 7 meter for 65K which to me seems a lot. For the amps will be upgrading to 4awg Kicker OFC silver tinned For Sound damping I have used Oriontech 2.2mm sheets with heat and sound isolation sheet which has foam and foil on top of the sound damping in doors. Trunk and Pillars have open cell foam sheets. Will properly deadened it with sound damping sheets , CCF and MLV. Getting MLV from aliexpresss does anyone have experience with MLV from aliexpress. Some upgrades that I have planned down the pipe is Focal utopia Be 3 way front with k2p in the back along with JL AUDIO 13w7 in IB, Brax dsp and MX4 pro amps. Will be using the phase linear for front subwoofer. Already got Focal Utopia Be midranges and have ordered the midbass need to find Be tweeters","In optimizing my vehicle's audio system, particularly the power wire upgrade, I'm currently seeking a suitable 0 gauge OFC wire. A potential option is a 2/0 gauge OFC Sky High Audio wire offered by someone, but the price of 65K seems steep. I've considered changing the existing King Vox subwoofer wire and upgrading to 4 AWG Kicker OFC silver-tinned for the amps. Seeking advice on reliable options, a user recommended checking for kits from abroad, citing the DB Link kit as a viable option with 6 meters of 0 AWG wire for 25K. The discussion also touched on the quality of wiring kits in local markets, emphasizing the potential for overpricing by some shops. Additionally, welding wire was suggested as a cost-effective alternative, though it might lack flexibility. Overall, the focus is on finding a quality and reasonably priced 0 gauge OFC wire for the power upgrade in the audio system.",,
"Dear Pak Wheelers I need your sugesstion on the following scenario for Suzuki Swift DLX: 1 - Keep Original HU intact 2 - Not use any AMP 3 - Replace all 4 door speakers with some good speakers which work best with the Stock HU 4 - Dont want to do surgery; Just want a bolt to bolt door speaker change with a decent upgrade in sound Please advise the best speaker model I have checked local market Kenwood e715p component (6800 rs) for 2 Pcs,Sony XS-GTF1638 (2900 rs) for 2 pcs I was thinking to install (2)Kenwood e715p & (2)Sony XS-GTF1638 Please give your suggestions Thanks!","Do you prefer to have component speakers in the front and coaxial speakers in the back? Or would you like to have all four speakers as coaxials? Also, what is your budget for this?",,
"Dear Pak Wheelers I need your sugesstion on the following scenario for Suzuki Swift DLX: 1 - Keep Original HU intact 2 - Not use any AMP 3 - Replace all 4 door speakers with some good speakers which work best with the Stock HU 4 - Dont want to do surgery; Just want a bolt to bolt door speaker change with a decent upgrade in sound Please advise the best speaker model I have checked local market Kenwood e715p component (6800 rs) for 2 Pcs,Sony XS-GTF1638 (2900 rs) for 2 pcs I was thinking to install (2)Kenwood e715p & (2)Sony XS-GTF1638 Please give your suggestions Thanks!","Tech_guy;4443838: Yes i was thinking for component upfront nd coaxials in back . Sent from my GT-I9300 using Tapatalk You need to pump up the speakers for the components to be effective ... the RLC network has some losses of its own too .. the crossover it is. The normal HU has an out of 14-18W rms which is too low for the components. Components is an overkill without amp. But let me add here by changing all four speakers with some other speakers wont improve sound quality as per your expectations. If you want improvement , you have to have an amp with the components Sent from my GT-I9300 using Tapatalk 2",,
"Salaam brothers. Hope everyone's doing well. I've been wishing to some changes to my Kia Classic's interior and really wanted to install some door cards as shown in the picture below:  The ones installed at the moment are the regular cardboard/vinyl fabric door cards. Now I know the Classic doesnt have any cards as pictured above, so I'm looking for any other car's to fit in it. I'm confident that other cars such as the 88 Corolla, 94 Sunny, etc have the same door sizes and should work. But I would need some advice. Any help would be really appreciated folks. Jazak Allah","Dude, I don't think it's a good idea because playing around with it might cause trouble. And if it backfires, you'll be left to deal with it. It's genuine, though. Get it customized with a two-tone color. But, what else will you remember? Your wish can come true. Get it made with fiber, according to your preference. It looks good in this picture too, with the speaker's placement and the light, similar to an Accord. All the best!",,
"Pak Suzuki Wagon R Model 2015. During the usage of 5 Years I haven't faced any issue regarding AC. Now all of a sudden recently I have faced issue while travelling on a highway, I got my Car AC tripped and lost cooling at a speed of 80-100 km/h after 30mins of running. I checked radiator was working fine. For about an hour after the issue risen-up I realised that when ever I try to run my car on a High speed i.e. over 80 km/h my car ac tripped for a very long time and I have to restart my car to Re-Run the AC. Although AC Cooling is absolutely fine. I also realized that at a low speed i.e. below 70 km/h and low rpm it didn't trip... Mostly I used my car in Karachi city and do not travel more than 20kms / trip. Can AnyOne guide about this issue to how to resolve this issue and make my AC working properly at high speed too...!!!!!!","It seems that your Pak Suzuki Wagon R, model 2015, is experiencing AC issues specifically at higher speeds. One suggestion is to check the vehicle's cooling system for air pockets, recommending a purge of the system. Additionally, the use of plain water may lead to salt deposits causing cavitation, overheating the AC condenser, and triggering the cooling trip. Visiting Quick Cool or Sabir AC for resolution is advised. Another approach involves flushing the cooling system with a mixture of citric acid and water, followed by using a recommended coolant. The possibility of separate AC and radiator fans running simultaneously is mentioned. In a detailed continuation of the issue, the car exhibited temperature light signals during AC operation on a longer trip. The issue persisted with temperature light appearing at higher speeds, prompting stops and checks. Flushing the radiator with fresh water was attempted, and while some improvement was observed, intermittent AC operation issues persisted. Seeking further insights or professional assistance may be necessary to address the underlying cause and ensure proper AC functionality, especially during high-speed travel.",,
"Assalam alaikum fellow pakwheelers I have been having this very strange issue in my 2009 Corolla XLi, so this started back in September 2022 where I was once driving with my parking lights on (fog lights were off because it had blown a fuse) where I decided to flash my headlights (dipper) (Oem bulbs) and noticed that my subwoofer would make (pop noise) I flashed my lights couple more times and then the power steering light came up for 2 sec and then the subwoofer popping when I flash my lights was gone, one thing I also noticed that day was that whenever I’m flashing my lights, turning my lights high and low beams on the lights on the speedometer would flick like they would dim for 0.001 sec if this makes sense, I decided to ignore the issue as I thought its getting old these issues may show up every now and then but sometime later I was driving home and decided to indicate to the left, the music was playing not loud but was playing, this is at nighttime so I had my low beams on, the moment I turned my indicator on the subwoofer popped and the power steering light came on The very next day I decided to check its volts with a multimeter it turned out that with my high beams on and the ac running the volts at the battery were 13.33 volts, clearly showing that the alternator isn’t doing much, took to the electrician the very next day he serviced the alternator said nothing was out of the ordinary when he tore out and diagnosed that the battery was going bad, the battery was old like a 1.5 years old at that point, he charged the battery and I took the car home The problem got worse and worse to the point that whenever I would flash my high beams during the daytime with no lights on or with parking light on the subwoofer would pop and power steering light would came on, eventually the car stopped cranking and we got a new battery daewoo dl65 the problem wasn’t solved even with a new battery the subwoofer popping issue was gone for now but the speedometer were still flickering when flashing high beams, once the car took a long crank and was at the electricians again this time he cleaned the terminals with a machine put gel on them and for a month almost it became perfect until one day I noticed that the speedometer lights where flickering slightly when I flashed my high beams (around this time I had gone cheap 2k rupees leds on my low beams 35 watts because they looked cool lol and also the electrician did fix the fog lights by diagnosing that the fuse had blown, the fuse had blown multiple times at this point, first when I was installing grill glow a light that illuminates the grill area the led strip was powered by the left parking bulb wire and second it was blown when I was installing the leds) and again the car had the same issues the speedometer lights along with ac knobs lights would flicker when flashing lights (dipper) or whenever I would turn on my wiper, turn my steering wheel (the lights around the entire car would dim) and flick whenever I hit steering lock, my car has aftermarket power windows, central whenever I would use any of the light would flick I ignored these issues but untill now (6 month old battery) where when the music is being played at any volume over 32-33 with parking lights on and fog lights (100 watt bulbs) and I would flash my beams the subwoofer and speakers would pop and also when I hit steering lock with fog lights off the subwoofer or the speakers don’t pop but it pops when I hit steering lock The amp I am running is a presence 1600 watt rms and cerwin vega 12 mobile subwoofer 200 watt rms, speakers are being run the stock company fitted lcd Sorry for this extremely long post but it would mean a lot to me if anyone helps me diagnose this issue, do I need a bigger alternator or a bigger battery?",Check the main cable and the grounding points on the A pillar too (have your mechanic do voltage drop test to identfy which is bad),,
"Assalam alaikum fellow pakwheelers I have been having this very strange issue in my 2009 Corolla XLi, so this started back in September 2022 where I was once driving with my parking lights on (fog lights were off because it had blown a fuse) where I decided to flash my headlights (dipper) (Oem bulbs) and noticed that my subwoofer would make (pop noise) I flashed my lights couple more times and then the power steering light came up for 2 sec and then the subwoofer popping when I flash my lights was gone, one thing I also noticed that day was that whenever I’m flashing my lights, turning my lights high and low beams on the lights on the speedometer would flick like they would dim for 0.001 sec if this makes sense, I decided to ignore the issue as I thought its getting old these issues may show up every now and then but sometime later I was driving home and decided to indicate to the left, the music was playing not loud but was playing, this is at nighttime so I had my low beams on, the moment I turned my indicator on the subwoofer popped and the power steering light came on The very next day I decided to check its volts with a multimeter it turned out that with my high beams on and the ac running the volts at the battery were 13.33 volts, clearly showing that the alternator isn’t doing much, took to the electrician the very next day he serviced the alternator said nothing was out of the ordinary when he tore out and diagnosed that the battery was going bad, the battery was old like a 1.5 years old at that point, he charged the battery and I took the car home The problem got worse and worse to the point that whenever I would flash my high beams during the daytime with no lights on or with parking light on the subwoofer would pop and power steering light would came on, eventually the car stopped cranking and we got a new battery daewoo dl65 the problem wasn’t solved even with a new battery the subwoofer popping issue was gone for now but the speedometer were still flickering when flashing high beams, once the car took a long crank and was at the electricians again this time he cleaned the terminals with a machine put gel on them and for a month almost it became perfect until one day I noticed that the speedometer lights where flickering slightly when I flashed my high beams (around this time I had gone cheap 2k rupees leds on my low beams 35 watts because they looked cool lol and also the electrician did fix the fog lights by diagnosing that the fuse had blown, the fuse had blown multiple times at this point, first when I was installing grill glow a light that illuminates the grill area the led strip was powered by the left parking bulb wire and second it was blown when I was installing the leds) and again the car had the same issues the speedometer lights along with ac knobs lights would flicker when flashing lights (dipper) or whenever I would turn on my wiper, turn my steering wheel (the lights around the entire car would dim) and flick whenever I hit steering lock, my car has aftermarket power windows, central whenever I would use any of the light would flick I ignored these issues but untill now (6 month old battery) where when the music is being played at any volume over 32-33 with parking lights on and fog lights (100 watt bulbs) and I would flash my beams the subwoofer and speakers would pop and also when I hit steering lock with fog lights off the subwoofer or the speakers don’t pop but it pops when I hit steering lock The amp I am running is a presence 1600 watt rms and cerwin vega 12 mobile subwoofer 200 watt rms, speakers are being run the stock company fitted lcd Sorry for this extremely long post but it would mean a lot to me if anyone helps me diagnose this issue, do I need a bigger alternator or a bigger battery?",Seems like your guy is shooting parts at range rovers and praying for a fix if he cannot do voltage drop tests on a grounding path and also load and freewheeling tests on a basic toyota alternator. Ask him if he knows what a loaded VDrop test is.,,
"Assalam alaikum fellow pakwheelers I have been having this very strange issue in my 2009 Corolla XLi, so this started back in September 2022 where I was once driving with my parking lights on (fog lights were off because it had blown a fuse) where I decided to flash my headlights (dipper) (Oem bulbs) and noticed that my subwoofer would make (pop noise) I flashed my lights couple more times and then the power steering light came up for 2 sec and then the subwoofer popping when I flash my lights was gone, one thing I also noticed that day was that whenever I’m flashing my lights, turning my lights high and low beams on the lights on the speedometer would flick like they would dim for 0.001 sec if this makes sense, I decided to ignore the issue as I thought its getting old these issues may show up every now and then but sometime later I was driving home and decided to indicate to the left, the music was playing not loud but was playing, this is at nighttime so I had my low beams on, the moment I turned my indicator on the subwoofer popped and the power steering light came on The very next day I decided to check its volts with a multimeter it turned out that with my high beams on and the ac running the volts at the battery were 13.33 volts, clearly showing that the alternator isn’t doing much, took to the electrician the very next day he serviced the alternator said nothing was out of the ordinary when he tore out and diagnosed that the battery was going bad, the battery was old like a 1.5 years old at that point, he charged the battery and I took the car home The problem got worse and worse to the point that whenever I would flash my high beams during the daytime with no lights on or with parking light on the subwoofer would pop and power steering light would came on, eventually the car stopped cranking and we got a new battery daewoo dl65 the problem wasn’t solved even with a new battery the subwoofer popping issue was gone for now but the speedometer were still flickering when flashing high beams, once the car took a long crank and was at the electricians again this time he cleaned the terminals with a machine put gel on them and for a month almost it became perfect until one day I noticed that the speedometer lights where flickering slightly when I flashed my high beams (around this time I had gone cheap 2k rupees leds on my low beams 35 watts because they looked cool lol and also the electrician did fix the fog lights by diagnosing that the fuse had blown, the fuse had blown multiple times at this point, first when I was installing grill glow a light that illuminates the grill area the led strip was powered by the left parking bulb wire and second it was blown when I was installing the leds) and again the car had the same issues the speedometer lights along with ac knobs lights would flicker when flashing lights (dipper) or whenever I would turn on my wiper, turn my steering wheel (the lights around the entire car would dim) and flick whenever I hit steering lock, my car has aftermarket power windows, central whenever I would use any of the light would flick I ignored these issues but untill now (6 month old battery) where when the music is being played at any volume over 32-33 with parking lights on and fog lights (100 watt bulbs) and I would flash my beams the subwoofer and speakers would pop and also when I hit steering lock with fog lights off the subwoofer or the speakers don’t pop but it pops when I hit steering lock The amp I am running is a presence 1600 watt rms and cerwin vega 12 mobile subwoofer 200 watt rms, speakers are being run the stock company fitted lcd Sorry for this extremely long post but it would mean a lot to me if anyone helps me diagnose this issue, do I need a bigger alternator or a bigger battery?","pwuser163992317180: Just say that this person is competent enough to understand the electronics of modern cars. However, he seems to only work on Range Rovers and Jaguars and can't seem to fix a Corolla. I can assure you that the owners of such vehicles are foolish enough to send their cars with a driver to this person. The drivers get bribed for every repeat visit. I can assure you that he has no clue about the number of ground points in a Range Rover or the correct wire gauge for any given location. He just thinks that as long as there is a wire, it should work. This auto electrician is a complete idiot.  -  - I had a short trip to Islamabad after Eid in April and my neighbor was complaining about his Range Rover. He said that it wouldn't start and the workshop suggested towing it there for inspection. I was shocked because it was a 2018 limited edition with only 79,000 km on the odometer. I went to his porch and asked him to lift the hood. He didn't even know where to open it from and told me to figure it out myself. I placed the key on the driver's seat and opened the main red breaker in the engine bay. I flipped it to green and the dashboard came to life. On the third crank, the engine started. My neighbor was completely speechless and shocked. I left him there to figure out what I had just whispered to myself. (If only he had bothered to educate himself and read the user manual, he would have found all this diagnostic information there, idiot!)",,
"Could anyone please provide me with information on where to purchase Nissan CVT NS-3 fluid in Lahore? Additionally, I am in search of a reputable workshop that specializes in Nissan Dayz tuning near Walton Road. Any guidance would be greatly appreciated.","If you're in Lahore and looking for Nissan CVT NS-3 fluid, it's recommended to check with reputable auto parts stores or dealerships that specialize in Nissan parts. If you're unable to find the genuine OEM fluid, alternatives such as CVTF by Caltex or Kixx that meet Nissan's NS-3 criteria can be considered.

For a reliable workshop specializing in Nissan Dayz tuning near Walton Road, you may want to explore local recommendations or online forums where car enthusiasts share their experiences with workshops. Additionally, consider checking platforms like ""Workshops in Pakistan"" for detailed reviews and information on workshops offering mechanical and electrical services.

Please note that one user in Islamabad mentioned availability of NS3 and CVT filter, but it's essential to verify the compatibility with your specific Nissan model and requirements before making any purchases.",,
Hi there I want to get my Baleno roof and trunk showered can anyone give an estimate on the cost?,if surface is smooth.no dents etc.do consider wrap option,,
